Day,Hour,OccupancyPercent
Su,0,32
Su,1,19
Su,2,11
Su,3,8
Su,4,8
Su,5,8
Su,6,10
Su,7,14
Su,8,19
Su,9,24
Su,10,28
Su,11,30
Su,12,31
Su,13,33
Su,14,38
Su,15,47
Su,16,62
Su,17,82
Su,18,98
Su,19,100
Su,20,91
Su,21,78
Su,22,65
Su,23,49
Mo,0,19
Mo,1,12
Mo,2,7
Mo,3,4
Mo,4,3
Mo,5,4
Mo,6,7
Mo,7,12
Mo,8,17
Mo,9,23
Mo,10,27
Mo,11,30
Mo,12,31
Mo,13,32
Mo,14,35
Mo,15,39
Mo,16,46
Mo,17,53
Mo,18,58
Mo,19,56
Mo,20,48
Mo,21,40
Mo,22,34
Mo,23,28
Tu,0,19
Tu,1,12
Tu,2,7
Tu,3,4
Tu,4,3
Tu,5,5
Tu,6,8
Tu,7,14
Tu,8,21
Tu,9,27
Tu,10,31
Tu,11,32
Tu,12,33
Tu,13,33
Tu,14,35
Tu,15,38
Tu,16,44
Tu,17,51
Tu,18,58
Tu,19,56
Tu,20,50
Tu,21,42
Tu,22,36
Tu,23,29
We,0,25
We,1,16
We,2,9
We,3,6
We,4,4
We,5,5
We,6,9
We,7,14
We,8,21
We,9,27
We,10,31
We,11,34
We,12,34
We,13,34
We,14,36
We,15,40
We,16,47
We,17,55
We,18,62
We,19,61
We,20,57
We,21,51
We,22,46
We,23,38
Th,0,24
Th,1,15
Th,2,9
Th,3,6
Th,4,4
Th,5,5
Th,6,9
Th,7,15
Th,8,22
Th,9,28
Th,10,34
Th,11,36
Th,12,36
Th,13,35
Th,14,37
Th,15,40
Th,16,47
Th,17,54
Th,18,59
Th,19,57
Th,20,52
Th,21,47
Th,22,42
Th,23,35
Fr,0,39
Fr,1,26
Fr,2,15
Fr,3,9
Fr,4,5
Fr,5,5
Fr,6,9
Fr,7,15
Fr,8,23
Fr,9,30
Fr,10,34
Fr,11,36
Fr,12,36
Fr,13,36
Fr,14,39
Fr,15,44
Fr,16,53
Fr,17,64
Fr,18,72
Fr,19,72
Fr,20,69
Fr,21,65
Fr,22,61
Fr,23,54
Sa,0,63
Sa,1,47
Sa,2,32
Sa,3,20
Sa,4,11
Sa,5,8
Sa,6,10
Sa,7,16
Sa,8,23
Sa,9,29
Sa,10,31
Sa,11,34
Sa,12,37
Sa,13,40
Sa,14,45
Sa,15,52
Sa,16,64
Sa,17,80
Sa,18,91
Sa,19,92
Sa,20,88
Sa,21,86
Sa,22,84
Sa,23,80
