Day,Hour,OccupancyPercent
Su,0,5
Su,1,2
Su,2,2
Su,3,5
Su,4,9
Su,5,21
Su,6,39
Su,7,59
Su,8,71
Su,9,70
Su,10,68
Su,11,64
Su,12,58
Su,13,52
Su,14,53
Su,15,64
Su,16,82
Su,17,97
Su,18,94
Su,19,75
Su,20,52
Su,21,34
Su,22,20
Su,23,11
Mo,0,8
Mo,1,4
Mo,2,1
Mo,3,3
Mo,4,9
Mo,5,26
Mo,6,51
Mo,7,77
Mo,8,79
Mo,9,65
Mo,10,54
Mo,11,49
Mo,12,49
Mo,13,49
Mo,14,54
Mo,15,62
Mo,16,72
Mo,17,83
Mo,18,89
Mo,19,80
Mo,20,60
Mo,21,38
Mo,22,24
Mo,23,15
Tu,0,8
Tu,1,7
Tu,2,6
Tu,3,7
Tu,4,12
Tu,5,29
Tu,6,57
Tu,7,84
Tu,8,87
Tu,9,75
Tu,10,65
Tu,11,61
Tu,12,59
Tu,13,59
Tu,14,58
Tu,15,63
Tu,16,74
Tu,17,86
Tu,18,92
Tu,19,82
Tu,20,62
Tu,21,40
Tu,22,24
Tu,23,14
We,0,8
We,1,5
We,2,2
We,3,3
We,4,10
We,5,27
We,6,54
We,7,78
We,8,81
We,9,70
We,10,60
We,11,55
We,12,54
We,13,53
We,14,57
We,15,64
We,16,76
We,17,86
We,18,86
We,19,78
We,20,57
We,21,38
We,22,22
We,23,14
Th,0,12
Th,1,8
Th,2,6
Th,3,7
Th,4,12
Th,5,29
Th,6,59
Th,7,84
Th,8,89
Th,9,78
Th,10,65
Th,11,60
Th,12,56
Th,13,59
Th,14,63
Th,15,69
Th,16,75
Th,17,81
Th,18,81
Th,19,75
Th,20,58
Th,21,41
Th,22,28
Th,23,19
Fr,0,11
Fr,1,8
Fr,2,5
Fr,3,5
Fr,4,10
Fr,5,26
Fr,6,51
Fr,7,77
Fr,8,82
Fr,9,74
Fr,10,64
Fr,11,61
Fr,12,59
Fr,13,58
Fr,14,61
Fr,15,69
Fr,16,81
Fr,17,89
Fr,18,87
Fr,19,75
Fr,20,56
Fr,21,38
Fr,22,24
Fr,23,17
Sa,0,11
Sa,1,9
Sa,2,6
Sa,3,6
Sa,4,10
Sa,5,27
Sa,6,58
Sa,7,91
Sa,8,100
Sa,9,91
Sa,10,77
Sa,11,67
Sa,12,63
Sa,13,61
Sa,14,63
Sa,15,68
Sa,16,80
Sa,17,92
Sa,18,91
Sa,19,74
Sa,20,52
Sa,21,36
Sa,22,24
Sa,23,16
