Day,Hour,OccupancyPercent
Su,3,0
Su,4,11
Su,5,19
Su,6,30
Su,7,41
Su,8,49
Su,9,53
Su,10,56
Su,11,61
Su,12,64
Su,13,67
Su,14,68
Su,15,70
Su,16,75
Su,17,77
Su,18,75
Su,19,66
Su,20,57
Su,21,46
Su,22,37
Mo,3,0
Mo,4,12
Mo,5,18
Mo,6,33
Mo,7,51
Mo,8,59
Mo,9,55
Mo,10,54
Mo,11,55
Mo,12,58
Mo,13,59
Mo,14,60
Mo,15,65
Mo,16,72
Mo,17,83
Mo,18,88
Mo,19,84
Mo,20,69
Mo,21,52
Mo,22,38
Tu,3,0
Tu,4,14
Tu,5,22
Tu,6,37
Tu,7,52
Tu,8,61
Tu,9,59
Tu,10,60
Tu,11,59
Tu,12,61
Tu,13,60
Tu,14,60
Tu,15,64
Tu,16,75
Tu,17,85
Tu,18,92
Tu,19,83
Tu,20,69
Tu,21,51
Tu,22,38
We,3,0
We,4,12
We,5,20
We,6,35
We,7,49
We,8,58
We,9,57
We,10,57
We,11,55
We,12,56
We,13,56
We,14,59
We,15,67
We,16,80
We,17,93
We,18,100
We,19,90
We,20,71
We,21,53
We,22,40
Th,3,0
Th,4,12
Th,5,21
Th,6,35
Th,7,51
Th,8,58
Th,9,58
Th,10,56
Th,11,56
Th,12,59
Th,13,62
Th,14,65
Th,15,68
Th,16,73
Th,17,80
Th,18,83
Th,19,75
Th,20,61
Th,21,49
Th,22,36
Fr,3,0
Fr,4,11
Fr,5,17
Fr,6,30
Fr,7,46
Fr,8,54
Fr,9,54
Fr,10,53
Fr,11,51
Fr,12,52
Fr,13,55
Fr,14,58
Fr,15,63
Fr,16,72
Fr,17,85
Fr,18,90
Fr,19,82
Fr,20,67
Fr,21,52
Fr,22,39
Sa,3,0
Sa,4,10
Sa,5,18
Sa,6,33
Sa,7,48
Sa,8,61
Sa,9,68
Sa,10,75
Sa,11,83
Sa,12,86
Sa,13,88
Sa,14,88
Sa,15,90
Sa,16,92
Sa,17,93
Sa,18,87
Sa,19,77
Sa,20,61
Sa,21,50
Sa,22,37
